"Borrower ID","Product","Acquired","Market","Type of loan","Term","Loan size","Loan status","Borrower origination fee","Borrower rate","Loan servicing fee","Investor rate","Transaction price","Transaction date","Amount invested","Capital outstanding","Interest outstanding","Amount repaid","Capital repaid","Interest repaid","Amount in arrears","Days in arrears","Repayment day","Covered by Safeguard","Comment","Loan start date","Last repayment date","Default price","Default date","Monthly repayment amount","Type of asset","Loan purpose","Percentage repaid"
"fb688ed092a3","Zopa Plus","14-12-2018","D","Unsecured","60","5000.0","Closed","290.0","0.2696","0.01","0.2596","","","20.0","0.0","0.0","22.48536825","20.0","2.48536825","0.0","","16","false","[01/07/2019] Early Settlement made via debit card.","14-12-2018","16-12-2023","","","0.57662748","","Home improvements","1.0"
"4a42dc359a58","Zopa Plus","14-12-2018","C","Unsecured","60","10000.0","Withdrawn","870.0","0.1771","0.003","0.1741","","","20.0","16.41090578","5.578956956233816","7.30662513","3.58909422","3.71753091","0.0","","14","false","[17/06/2019] Replacement payment made via debit card.[17/06/2019] Borrower has been notified of missed payment.","14-12-2018","14-12-2023","","","0.49079992","","Consolidate existing debts","0.179454711"
"a86c922c2686","Zopa Plus","18-12-2018","A*","Unsecured","11","2328.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62223168","30.0","0.62223168","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"fd1608dfdf21","Zopa Plus","18-12-2018","A*","Unsecured","60","8000.0","Withdrawn","0.0","0.0284","0.003","0.0254","","","30.0","22.05364647","1.101910876135263","8.7417245","7.94635353","0.79537097","0.0","","28","false","","18-12-2018","28-12-2023","","","0.50621096","","Car","0.264878451"
"e5438067c2ad","Zopa Plus","23-12-2018","A*","Unsecured","11","1960.0","Closed","0.0","0.1161","0.0741","0.042","","","20.0","0.0","0.0","20.41841166","20.0","0.41841166","0.0","","23","false","","23-12-2018","23-11-2019","","","1.92002527","","Other","1.0"
"b2ac88ad17f2","Zopa Plus","18-12-2018","A*","Unsecured","11","1600.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"34b7ab1fd7a6","Zopa Plus","18-12-2018","A*","Unsecured","11","1704.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"3baeb2907238","Zopa Plus","18-12-2018","A*","Unsecured","11","1364.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"badfe0fbeade","Zopa Plus","18-12-2018","A*","Unsecured","11","1960.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.85030121","30.0","0.85030121","0.0","","26","false","","18-12-2018","26-11-2019","","","2.88003791","","Other","1.0"
"8e963f5fa374","Zopa Plus","19-12-2018","A*","Unsecured","11","5228.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","19","false","","19-12-2018","19-11-2019","","","2.88003791","","Other","1.0"
